Any,Núm. Mes,Mes,Regió Policial (RP),Àrea Bàsica Policial (ABP),Província,Comarca,Municipi,Tipus de lloc dels fets,Canal dels fets,Tipus de fet,Títol del fet (Codi Penal) o Llei de referència,Tipus de fet (Codi penal) o d'Infracció (altres lleis),Àmbit fet,Nombre fets o infraccions,Nombre víctimes
2020,3,Març,RP Metropolitana Barcelona,ABP Horta-Guinardó,Barcelona,Barcelonès,Barcelona,Via pública urbana,Presencial,Delictes,De les lesions,Lesions (lleu),"Ètnic, origen nacional i/o racial",1,1
2020,3,Març,RP Central,ABP Solsonès,Lleida,Solsonès,Resta de municipis ABP Solsonès,Pàrquing públic,Presencial,Delictes,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,Orientació política,1,1
2020,3,Març,RP Central,ABP Bages,Barcelona,Bages,Resta de municipis ABP Bages,Via pública urbana,Internet o xarxes socials,Infraccions administratives,Llei 4/15 de Protecció de seguretat ciutadana,Actes d'exhibició obscena/atempten contra la llibertat sexual,LGTBI-fòbia,1,1
2020,3,Març,RP Terres de l'Ebre,ABP Baix Ebre,Tarragona,Baix Ebre,Resta de municipis ABP Baix Ebre,Via pública urbana,Presencial,Delictes,Delictes contra l’honor,Injúria (lleu),LGTBI-fòbia,1,1
2020,3,Març,RP Metropolitana Barcelona,ABP Ciutat Vella,Barcelona,Barcelonès,Barcelona,Via pública urbana,Presencial,Delictes,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb violència i/o intimidació,LGTBI-fòbia,1,3
2020,3,Març,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,Barcelonès,Barcelona,Oficines/Despatxos professionals,Internet o xarxes socials,Delictes,Delictes contra la llibertat,Amenaces (lleu),Orientació política,1,1
2020,3,Març,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,Barcelonès,Barcelona,Partit polític,Internet o xarxes socials,Delictes,Delictes contra la llibertat,Amenaces (lleu),Orientació política,1,1
2020,4,Abril,RP Girona,ABP Garrotxa,Girona,Garrotxa,Olot,Habitatge - Primera residència - Pis/apartament,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,Orientació política,1,1
2020,4,Abril,RP Girona,ABP Garrotxa,Girona,Garrotxa,Olot,Habitatge - Primera residència - Pis/apartament,Internet o xarxes socials,Delictes,Delictes contra la llibertat,Amenaces,LGTBI-fòbia,1,1
2020,4,Abril,RP Girona,ABP Garrotxa,Girona,Garrotxa,Olot,Habitatge - Primera residència - Pis/apartament,Internet o xarxes socials,Delictes,Delictes contra la llibertat,Amenaces (lleu),Orientació política,1,1
2020,4,Abril,RP Girona,ABP Gironès - Pla de l'Estany,Girona,Gironès,Girona,Via pública urbana,Presencial,Delictes,De les lesions,Lesions (lleu),LGTBI-fòbia,1,1
2020,4,Abril,RP Camp de Tarragona,ABP Baix Camp - Priorat,Tarragona,Baix Camp,Cambrils,Habitatge - Primera residència - Pis/apartament,Presencial,Delictes,Delictes contra la llibertat i la indemnitat sexuals,Assetjament sexual,Sexisme,1,1
2020,4,Abril,RP Metropolitana Barcelona,ABP Eixample,Barcelona,Barcelonès,Barcelona,Habitatge - Primera residència - Pis/apartament,Presencial,Delictes,Delictes contra la llibertat,Amenaces (lleu),LGTBI-fòbia,1,1
2020,4,Abril,RP  Metropolitana Nord,ABP Sabadell,Barcelona,Vallès Occidental,Sabadell,Via pública urbana,Presencial,Delictes,Delictes contra la llibertat,Amenaces,"Ètnic, origen nacional i/o racial",1,1
2020,4,Abril,RP Metropolitana Barcelona,ABP Ciutat Vella,Barcelona,Barcelonès,Barcelona,Habitatge - Primera residència - Pis/apartament,Presencial,Delictes,De les lesions,Lesions (lleu),LGTBI-fòbia,1,1
2020,4,Abril,RP Camp de Tarragona,ABP Baix Camp - Priorat,Tarragona,Baix Camp,Resta de municipis ABP Baix Camp - Priorat,Altres centres socials,Internet o xarxes socials,Delictes,Delictes contra l’honor,Injúria (lleu),Orientació política,1,1
2020,4,Abril,RP Metropolitana Barcelona,ABP Eixample,Barcelona,Barcelonès,Barcelona,Habitatge - Balcó/Terrassa/Terrat,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",1,2
2020,4,Abril,RP Metropolitana Barcelona,ABP Ciutat Vella,Barcelona,Barcelonès,Barcelona,Via pública urbana,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,Sexisme,1,2
2020,4,Abril,RP Metropolitana Barcelona,ABP Ciutat Vella,Barcelona,Barcelonès,Barcelona,Via pública urbana,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,1,7
2020,4,Abril,RP Ponent,ABP Segrià - Garrigues - Pla d'Urgell,Lleida,Segrià,Lleida,Habitatge - Primera residència - Masia/casa de camp,Presencial,Delictes,Delictes contra la llibertat,Amenaces (lleu),"Ètnic, origen nacional i/o racial",1,2
2020,4,Abril,RP Ponent,ABP Segrià - Garrigues - Pla d'Urgell,Lleida,Segrià,Lleida,Habitatge - Primera residència - Pis/apartament,Presencial,Delictes,De les lesions,Lesions (lleu),"Ètnic, origen nacional i/o racial",1,1
2020,5,Maig,RP Metropolitana Sud,ABP l'Hospitalet de Llobregat,Barcelona,Barcelonès,"Hospitalet de Llobregat, l'",Habitatge - Primera residència - Pis/apartament,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,1,1
2020,5,Maig,RP Metropolitana Barcelona,ABP Sant Andreu,Barcelona,Barcelonès,Barcelona,Via pública urbana,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",1,2
2020,5,Maig,RP Girona,ABP Selva Litoral,Girona,Selva,Blanes,Via pública urbana,Presencial,Delictes,De les lesions,Lesions (lleu),LGTBI-fòbia,1,2
2020,5,Maig,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,Barcelonès,Barcelona,Habitatge - Escala/portal finca/replà,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,1,2
2020,5,Maig,RP Central,ABP Bages,Barcelona,Bages,Resta de municipis ABP Bages,Via pública urbana,Presencial,Delictes,Delictes contra la llibertat,Amenaces,Religiós,1,0
2020,5,Maig,RP  Metropolitana Nord,ABP Arenys de Mar,Barcelona,Maresme,Resta de municipis ABP Arenys de Mar,Establiment - Botiga de roba/Sabateria,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",1,2
2020,5,Maig,RP Metropolitana Barcelona,ABP Sant Andreu,Barcelona,Barcelonès,Barcelona,Habitatge - Primera residència - Pis/apartament,Presencial,Delictes,De les lesions,Lesions (lleu),LGTBI-fòbia,1,1
2020,5,Maig,RP Metropolitana Barcelona,ABP Ciutat Vella,Barcelona,Barcelonès,Barcelona,Via pública urbana,Presencial,Delictes,Delictes contra la llibertat,Amenaces (lleu),LGTBI-fòbia,1,2
2020,5,Maig,RP Metropolitana Barcelona,ABP Sant Andreu,Barcelona,Barcelonès,Barcelona,Via pública urbana,Presencial,Delictes,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys (lleu),"Ètnic, origen nacional i/o racial",1,1
2020,5,Maig,RP Metropolitana Barcelona,ABP Eixample,Barcelona,Barcelonès,Barcelona,Habitatge - Primera residència - Pis/apartament,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",1,1
2020,5,Maig,RP Camp de Tarragona,ABP Baix Penedès,Tarragona,Baix Penedès,Calafell,Via pública urbana,Presencial,Delictes,Delictes contra la llibertat,Amenaces (lleu),"Ètnic, origen nacional i/o racial",1,1
2020,5,Maig,RP Central,ABP Bages,Barcelona,Bages,Resta de municipis ABP Bages,Habitatge - Primera residència - Pis/apartament,Presencial,Delictes,Delictes contra la llibertat,Amenaces (lleu),"Ètnic, origen nacional i/o racial",1,2
